dataset,method,metric,estimate,ci95_lower,ci95_upper
macro_equal_dataset,bridge_shared,dense_total_reduction_pct,39.611207843011464,-4.166164081237631,46.820863266569624
macro_equal_dataset,bridge_shared,dual_depth_improvement_rate,0.5746600750410275,0.5403914546483469,0.6104533056395994
macro_equal_dataset,bridge_shared,sparse_total_reduction_pct,36.886584990465,-6.905977564551876,44.2382760094165
macro_equal_dataset,dense_only,dense_total_reduction_pct,8.853457421894866,-4.631238892394728,12.531079501423537
macro_equal_dataset,dense_only,dual_depth_improvement_rate,0.454674297372919,0.41720410093229643,0.4926512849158683
macro_equal_dataset,dense_only,sparse_total_reduction_pct,9.821922904352979,-3.46256846156006,13.242347960346775
macro_equal_dataset,mugi_controlled,dense_total_reduction_pct,23.372929850372046,-121.94205478060766,36.83028973235114
macro_equal_dataset,mugi_controlled,dual_depth_improvement_rate,0.516273065224193,0.4819438793676419,0.5523895373197222
macro_equal_dataset,mugi_controlled,sparse_total_reduction_pct,20.37059422025415,-125.18547465571395,34.02512712586269
macro_equal_dataset,original,dense_total_reduction_pct,0.0,0.0,0.0
macro_equal_dataset,original,dual_depth_improvement_rate,0.0,0.0,0.0
macro_equal_dataset,original,sparse_total_reduction_pct,0.0,0.0,0.0
macro_equal_dataset,proposed,dense_total_reduction_pct,36.54431677287375,8.214440319264554,41.72973225320605
macro_equal_dataset,proposed,dual_depth_improvement_rate,0.6222823253794432,0.5858282568394566,0.6600329579669179
macro_equal_dataset,proposed,sparse_total_reduction_pct,36.29532929203859,8.11520822730664,41.20033274903556
macro_equal_dataset,sparse_boolean_mask,dense_total_reduction_pct,37.761959739947535,-6.775700526761746,45.163252284790715
macro_equal_dataset,sparse_boolean_mask,dual_depth_improvement_rate,0.5643142070642071,0.5308462282525096,0.5994510368831956
macro_equal_dataset,sparse_boolean_mask,sparse_total_reduction_pct,37.53725237475172,-6.856946067063144,44.650420357713934
macro_equal_dataset,sparse_only,dense_total_reduction_pct,24.695630434732447,-4.252161324999384,30.02296179836029
macro_equal_dataset,sparse_only,dual_depth_improvement_rate,0.5896644085008745,0.554913909787876,0.6259631878499516
macro_equal_dataset,sparse_only,sparse_total_reduction_pct,24.16715254284044,-4.5650964080163,29.206302813575327
macro_equal_dataset,sparse_references_only,dense_total_reduction_pct,13.607250526177822,-148.02295836812152,29.710198468339634
macro_equal_dataset,sparse_references_only,dual_depth_improvement_rate,0.45608693521663446,0.4256002802368247,0.4896117477193448
macro_equal_dataset,sparse_references_only,sparse_total_reduction_pct,10.560781531078444,-151.24940757383808,26.615270514633114
