dataset,queries,dense_angle_mean,dense_angle_median,dense_angle_p95,dense_angle_max,dense_residual_norm_mean,sparse_top20_turnover_mean,sparse_top100_overlap_mean,sparse_relevant_rr_delta_mean,dense_only_delta_ndcg,dense_only_dense_depth_reduction_pct,sparse_only_delta_ndcg,sparse_only_sparse_depth_reduction_pct,exact_support_query_draw_rate,support_retention_mean,missing_document_occurrences
arguana,1406,4.020198730475484,4.027220185256662,5.489485186952451,10.214093498062304,0.07030402492954577,0.0814129919393077,0.9069108582266476,0.0047937552955255504,0.0015291946540138446,-3.0818775718921345,0.003725911776981538,7.653358594568348,1.0,1.0,0.0
fiqa,648,13.344659331613327,13.152316644633965,17.39136116277474,21.597490954155248,0.23770606735866867,0.3390946502057613,0.7042952674897119,0.020444196677569432,-0.00046569112596919066,-17.04062210626082,0.015696767141764458,10.27072861073282,1.0,1.0,0.0
nfcorpus,323,17.648594051992696,17.750037127667124,22.22520744519313,26.563487057076497,0.319210108281166,0.18689370485036116,0.8605675954592362,0.014693894894909706,0.007251071150961246,-23.495269464690903,0.004404818537628489,5.628764533298639,1.0,1.0,0.0
scidocs,1000,12.0535061072651,11.814613387489334,16.124365806552852,23.218843981775915,0.2139747632121046,0.20974999999999996,0.8082233333333334,0.002774436145524925,0.0013932058300950303,-2.5553466225852195,0.0015890744734290746,10.02571888875811,1.0,1.0,0.0
scifact,300,9.378536653159154,9.023727491761178,13.69355916225741,19.761954156332664,0.1654785569094949,0.1888333333333333,0.8223222222222222,0.021104874896473308,0.01071238496903724,-1.5098026150567567,0.009184688286451151,8.950657099931023,1.0,1.0,0.0
trec-covid,50,12.988771473946809,13.262375787514012,16.548221464899488,18.004750970910237,0.23104665284355477,0.45366666666666666,0.6254666666666666,0.0020892388758321206,0.007492796728070097,5.833909660616821,0.04014384854784023,12.32657122004824,1.0,1.0,0.0
webis-touche2020,49,14.400589590744977,14.321342524134613,17.332398374337174,19.14181675626012,0.2570753174574196,0.37074829931972786,0.7408843537414966,0.009135606727627886,0.006543917525747596,-0.47334614223506855,0.02478370183927489,-32.55908985722459,0.8435374149659864,0.9999989569326038,25.0
macro_equal_dataset,3776,11.976407991313934,11.907376164065269,15.543514086138178,19.786062482081856,0.21354221299885065,0.26148566375930826,0.781238613877045,0.010719429073351846,0.004922411390279409,-6.046050694586297,0.014218401514767118,3.1852441557303695,0.9776482021379981,0.999999850990372,25.0
