dataset,query_id,draw_id,dense_residual_norm,dense_angle_degrees,sparse_support_equal,sparse_support_retention,sparse_missing_documents,sparse_top20_overlap,sparse_top20_turnover,sparse_top100_overlap,sparse_relevant_rr_delta,sparse_relevant_mean_rank_gain,sparse_ranked_relevant_documents,dense_only_delta_ndcg,dense_only_delta_recall,dense_only_dense_depth_reduction_pct,dense_only_sparse_depth_reduction_pct,sparse_only_delta_ndcg,sparse_only_delta_recall,sparse_only_dense_depth_reduction_pct,sparse_only_sparse_depth_reduction_pct,proposed_delta_ndcg,proposed_delta_recall,proposed_dense_depth_reduction_pct,proposed_sparse_depth_reduction_pct
arguana,test-culture-ahrtsdlgra-con01a,0,0.0615753643214702,3.5235597689871234,True,1.0,0,0.95,0.05,0.95,-0.0833333333333333,-1.0,1,0.0,0.0,-2.2727272727272707,-2.3255813953488413,0.0,0.0,-2.2727272727272707,-2.3255813953488413,0.0,0.0,-6.818181818181812,-6.976744186046502
arguana,test-culture-ahrtsdlgra-con01a,1,0.060891717672348,3.4845360241588503,True,1.0,0,0.95,0.05,0.93,0.0,0.0,1,0.0,0.0,-18.181818181818187,-20.93023255813953,0.0,0.0,0.0,0.0,0.0,0.0,-18.181818181818187,-20.93023255813953
arguana,test-culture-ahrtsdlgra-con01a,2,0.0623121783137321,3.5656147329641006,True,1.0,0,1.0,0.0,0.94,0.0,0.0,1,0.0,0.0,-13.636363636363647,-16.279069767441868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana,test-culture-ahrtsdlgra-con02a,0,0.0892338380217552,5.099216455349999,True,1.0,0,0.95,0.05,0.94,0.004778972520908,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,25.624999999999996,25.15723270440252,0.0744693709653708,0.0,13.749999999999996,13.207547169811315
arguana,test-culture-ahrtsdlgra-con02a,1,0.0909133777022361,5.194672509556544,True,1.0,0,0.95,0.05,0.92,0.0034562211981566,3.0,1,0.0,0.0,3.125,3.1446540880503138,0.0,0.0,9.375,9.433962264150942,0.0744693709653708,0.0,0.6249999999999978,0.6289308176100628
arguana,test-culture-ahrtsdlgra-con02a,2,0.0814259797334671,4.6550950531840005,True,1.0,0,0.95,0.05,0.93,0.0094086021505376,7.0,1,0.0,0.0,2.500000000000002,2.515723270440251,0.0744693709653708,0.0,9.375,9.433962264150942,0.1437928128919778,0.0,-3.125,-3.1446540880503138
arguana,test-culture-ahrtsdlgra-con03a,0,0.0583879128098487,3.341587102534203,True,1.0,0,0.95,0.05,0.94,0.0,0.0,1,0.0,0.0,-7.758620689655182,-7.758620689655182,0.0,0.0,-8.62068965517242,-8.62068965517242,0.0,0.0,-9.482758620689658,-9.482758620689658
arguana,test-culture-ahrtsdlgra-con03a,1,0.0567200742661953,3.246342508973688,True,1.0,0,1.0,0.0,0.95,0.0,0.0,1,0.0,0.0,-10.344827586206897,-10.344827586206897,0.0,0.0,-4.31034482758621,-4.31034482758621,0.0,0.0,-10.344827586206897,-10.344827586206897
arguana,test-culture-ahrtsdlgra-con03a,2,0.0571851208806037,3.272901569857076,True,1.0,0,0.95,0.05,0.95,0.0238095238095238,1.0,1,0.0,0.0,-9.482758620689658,-9.482758620689658,0.0,0.0,3.4482758620689613,3.4482758620689613,0.0,0.0,-0.8620689655172376,-0.8620689655172376
arguana,test-culture-ahrtsdlgra-pro01a,0,0.0662572532892227,3.790720337307239,True,1.0,0,0.95,0.05,0.94,0.0,0.0,1,0.0,0.0,9.859154929577462,9.999999999999998,0.0,0.0,9.859154929577462,9.999999999999998,0.0,0.0,18.309859154929576,18.571428571428573
arguana,test-culture-ahrtsdlgra-pro01a,1,0.0606162510812282,3.468810993011834,True,1.0,0,0.95,0.05,0.93,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,14.084507042253524,14.28571428571429,0.0,0.0,11.267605633802813,11.428571428571432
arguana,test-culture-ahrtsdlgra-pro01a,2,0.0625704377889633,3.580354441932306,True,1.0,0,0.95,0.05,0.93,0.0,0.0,1,0.0,0.0,1.4084507042253502,1.4285714285714235,0.0,0.0,12.676056338028175,12.857142857142856,0.0,0.0,18.309859154929576,18.571428571428573
arguana,test-culture-ahrtsdlgra-pro02a,0,0.0691966414451599,3.9583657750295775,True,1.0,0,0.85,0.15,0.92,0.0,0.0,1,0.0,0.0,-6.818181818181812,-6.835443037974676,0.0,0.0,8.080808080808078,8.101265822784809,0.0,0.0,11.868686868686872,11.898734177215186
arguana,test-culture-ahrtsdlgra-pro02a,1,0.0754201784729957,4.313092369061472,True,1.0,0,0.9,0.0999999999999999,0.92,0.0,0.0,1,0.0,0.0,3.0303030303030276,3.037974683544309,0.0,0.0,24.74747474747475,24.81012658227848,0.0,0.0,21.969696969696972,22.0253164556962
arguana,test-culture-ahrtsdlgra-pro02a,2,0.0731465145945549,4.183535973590338,True,1.0,0,0.85,0.15,0.88,0.0,0.0,1,0.0,0.0,-9.84848484848484,-9.873417721518996,0.0,0.0,41.666666666666664,41.77215189873418,0.0,0.0,33.58585858585859,33.67088607594937
arguana,test-culture-ahrtsdlgra-pro03a,0,0.0733577758073806,4.195575745483849,True,1.0,0,0.85,0.15,0.8,0.0,0.0,1,0.0,0.0,-22.758620689655174,-22.758620689655174,0.0,0.0,38.62068965517241,39.310344827586206,0.0,0.0,28.965517241379313,29.655172413793107
arguana,test-culture-ahrtsdlgra-pro03a,1,0.0688426569104194,3.9381801140576775,True,1.0,0,0.85,0.15,0.81,0.0,0.0,1,0.0,0.0,-21.379310344827584,-21.379310344827584,0.0,0.0,48.27586206896552,48.96551724137931,0.0,0.0,48.96551724137931,49.6551724137931
arguana,test-culture-ahrtsdlgra-pro03a,2,0.0656367391347885,3.75532144624675,True,1.0,0,0.85,0.15,0.81,0.0,0.0,1,0.0,0.0,-12.413793103448278,-12.413793103448278,0.0,0.0,30.3448275862069,31.034482758620683,0.0,0.0,31.034482758620683,31.72413793103448
arguana,test-culture-ascidfakhba-con01a,0,0.0568024292588233,3.251045948741506,True,1.0,0,1.0,0.0,0.98,0.0018115942028985,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-2.1739130434782705,0.0,0.0,0.0,0.0,0.0
