dataset,track,condition_id,method,reference_count,rrf_constant,top_l,ndcg_at_10,recall_at_20,complete_top20_exact_rate
fiqa,controlled,primary,sparse_boolean_mask,5,60,100,0.3611881098527102,0.5323097698483501,0.2602880658436214
fiqa,controlled,primary,sparse_boolean_mask,5,60,200,0.36220008136527354,0.5337786770271338,0.5524691358024691
fiqa,controlled,primary,sparse_boolean_mask,5,60,500,0.3624152974101379,0.5383137952582397,0.7901234567901234
fiqa,controlled,primary,sparse_boolean_mask,5,60,1000,0.3625433683166269,0.5397420809072043,0.8688271604938271
fiqa,controlled,primary,sparse_only,5,60,10,0.3813860682713639,0.5210934298897262,0.0
fiqa,controlled,primary,sparse_only,5,60,20,0.38518016671750144,0.5398832277690303,0.0
fiqa,controlled,primary,sparse_only,5,60,50,0.3797485367838126,0.5498565206512737,0.02880658436213992
fiqa,controlled,primary,sparse_only,5,60,100,0.37897352144033375,0.5377998373368744,0.22170781893004116
fiqa,controlled,primary,sparse_only,5,60,200,0.3800449701332395,0.5380558142132217,0.5190329218106996
fiqa,controlled,primary,sparse_only,5,60,500,0.38047539360494487,0.5426180815069703,0.7530864197530864
fiqa,controlled,primary,sparse_only,5,60,1000,0.3802836389868714,0.5435929982226277,0.8415637860082305
fiqa,controlled,primary,sparse_references_only,5,60,10,0.3671737303715429,0.5205734965765829,0.0
fiqa,controlled,primary,sparse_references_only,5,60,20,0.36075756351810123,0.5329310150297805,0.0
fiqa,controlled,primary,sparse_references_only,5,60,50,0.3504467639654207,0.5375763554004295,0.03446502057613169
fiqa,controlled,primary,sparse_references_only,5,60,100,0.3435859006937424,0.5218531068839711,0.22067901234567902
fiqa,controlled,primary,sparse_references_only,5,60,200,0.34309135320441814,0.5272711113760497,0.5005144032921811
fiqa,controlled,primary,sparse_references_only,5,60,500,0.34345147344733434,0.5274554078180621,0.7371399176954733
fiqa,controlled,primary,sparse_references_only,5,60,1000,0.34387615356367696,0.5277807569088434,0.8266460905349794
nfcorpus,controlled,primary,bridge_shared,5,60,10,0.3775222542447607,0.21087823886985435,0.0
nfcorpus,controlled,primary,bridge_shared,5,60,20,0.37968840089005773,0.2287506681687822,0.0
nfcorpus,controlled,primary,bridge_shared,5,60,50,0.37722768947162827,0.22720731810750963,0.1393188854489164
nfcorpus,controlled,primary,bridge_shared,5,60,100,0.37730797512124287,0.22220353279172575,0.43653250773993807
nfcorpus,controlled,primary,bridge_shared,5,60,200,0.37807415421534735,0.22425062302189064,0.6914344685242518
nfcorpus,controlled,primary,bridge_shared,5,60,500,0.3780156564954637,0.22509806500632315,0.8771929824561403
nfcorpus,controlled,primary,bridge_shared,5,60,1000,0.3780156564954637,0.2252695838999978,0.9432404540763674
nfcorpus,controlled,primary,dense_only,5,60,10,0.3712852607742975,0.19737838765724192,0.0
nfcorpus,controlled,primary,dense_only,5,60,20,0.3712026542781924,0.220165007278923,0.13312693498452013
nfcorpus,controlled,primary,dense_only,5,60,50,0.37496238757235617,0.221127694270089,0.25593395252837975
nfcorpus,controlled,primary,dense_only,5,60,100,0.37302381488150865,0.21792948929096723,0.4633642930856553
nfcorpus,controlled,primary,dense_only,5,60,200,0.3739066829053914,0.21750411412252202,0.628482972136223
nfcorpus,controlled,primary,dense_only,5,60,500,0.37429720302525943,0.21746812662261314,0.7719298245614035
nfcorpus,controlled,primary,dense_only,5,60,1000,0.3741256014155666,0.21745805871780838,0.8648090815273478
nfcorpus,controlled,primary,mugi_controlled,5,60,10,0.37984825782530074,0.21119545779804721,0.0
nfcorpus,controlled,primary,mugi_controlled,5,60,20,0.38128824853061716,0.22832298026347433,0.0
