dataset,query_id,dense_residual_norm,dense_angle_degrees,sparse_support_retention,sparse_missing_documents,sparse_top20_overlap,sparse_top20_turnover,sparse_top100_overlap,sparse_relevant_rr_delta,sparse_relevant_mean_rank_gain,sparse_ranked_relevant_documents,dense_only_delta_ndcg,dense_only_delta_recall,dense_only_dense_depth_reduction_pct,dense_only_sparse_depth_reduction_pct,sparse_only_delta_ndcg,sparse_only_delta_recall,sparse_only_dense_depth_reduction_pct,sparse_only_sparse_depth_reduction_pct,proposed_delta_ndcg,proposed_delta_recall,proposed_dense_depth_reduction_pct,proposed_sparse_depth_reduction_pct,sparse_support_equal
arguana,test-culture-ahrtsdlgra-con01a,0.06159308676918343,3.524570175370025,1.0,0.0,0.9666666666666667,0.03333333333333333,0.94,-0.027777777777777766,-0.3333333333333333,1.0,0.0,0.0,-11.363636363636369,-13.178294573643413,0.0,0.0,-0.7575757575757569,-0.7751937984496138,0.0,0.0,-8.333333333333334,-9.302325581395344,True
arguana,test-culture-ahrtsdlgra-con02a,0.08719106515248613,4.982994672696848,1.0,0.0,0.9499999999999998,0.05000000000000001,0.93,0.0058812652898674,4.666666666666667,1.0,0.0,0.0,1.8750000000000007,1.8867924528301883,0.0248231236551236,0.0,14.791666666666666,14.675052410901467,0.09757718494090646,0.0,3.7499999999999982,3.5639412997903546,True
arguana,test-culture-ahrtsdlgra-con03a,0.05743103598554924,3.2869437271216557,1.0,0.0,0.9666666666666667,0.03333333333333333,0.9466666666666667,0.007936507936507934,0.3333333333333333,1.0,0.0,0.0,-9.19540229885058,-9.19540229885058,0.0,0.0,-3.1609195402298895,-3.1609195402298895,0.0,0.0,-6.8965517241379315,-6.8965517241379315,True
arguana,test-culture-ahrtsdlgra-pro01a,0.06314798071980474,3.613295257417126,1.0,0.0,0.9499999999999998,0.05000000000000001,0.9333333333333332,0.0,0.0,1.0,0.0,0.0,3.7558685446009377,3.809523809523807,0.0,0.0,12.206572769953054,12.380952380952381,0.0,0.0,15.96244131455399,16.190476190476193,True
arguana,test-culture-ahrtsdlgra-pro02a,0.0725877781709035,4.151664705893796,1.0,0.0,0.8666666666666667,0.1333333333333333,0.9066666666666667,0.0,0.0,1.0,0.0,0.0,-4.545454545454542,-4.556962025316454,0.0,0.0,24.831649831649827,24.894514767932492,0.0,0.0,22.474747474747478,22.531645569620252,True
arguana,test-culture-ahrtsdlgra-pro03a,0.06927905728419616,3.963025768596092,1.0,0.0,0.85,0.15,0.8066666666666666,0.0,0.0,1.0,0.0,0.0,-18.850574712643677,-18.850574712643677,0.0,0.0,39.08045977011495,39.77011494252873,0.0,0.0,36.32183908045977,37.01149425287357,True
arguana,test-culture-ascidfakhba-con01a,0.057411177704731566,3.28580765784966,1.0,0.0,1.0,0.0,0.9899999999999999,0.002470355731225233,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7246376811594272,1.4492753623188397,0.0,0.0,3.6231884057970993,3.6231884057970993,True
arguana,test-culture-ascidfakhba-con02a,0.06418394049008684,3.6724008622531943,1.0,0.0,0.9833333333333334,0.016666666666666666,0.96,0.001207729468599,0.6666666666666666,1.0,0.0,0.0,-8.16326530612245,-8.333333333333334,0.0,0.0,-2.7210884353741527,-2.7777777777777826,0.0,0.0,-6.802721088435374,-6.94444444444445,True
arguana,test-culture-ascidfakhba-con03a,0.06258469820022576,3.581138060276136,1.0,0.0,0.9499999999999998,0.05000000000000001,0.9333333333333332,-0.0042153996101364334,-1.3333333333333333,1.0,0.0,0.0,2.9761904761904803,2.9761904761904803,0.0,0.0,7.142857142857143,7.142857142857143,-0.011912304365069667,0.0,8.333333333333334,8.333333333333334,True
arguana,test-culture-ascidfakhba-con04a,0.06415325899918871,3.6706761755074333,1.0,0.0,0.9666666666666667,0.03333333333333333,0.9199999999999999,0.0001537849182226,0.3333333333333333,1.0,0.0,0.0,4.444444444444439,4.444444444444439,0.0,0.3333333333333333,-1.4814814814814836,-1.4814814814814836,0.0,0.0,0.7407407407407417,0.7407407407407417,True
arguana,test-culture-ascidfakhba-pro01a,0.0566646220783392,3.2431591705498235,1.0,0.0,0.9833333333333334,0.016666666666666666,0.9499999999999998,0.023809523809523798,1.0,1.0,0.0,0.0,-1.8867924528301885,-1.9230769230769234,0.0,0.0,11.949685534591191,10.897435897435896,0.0,0.0,12.578616352201257,11.538461538461538,True
arguana,test-culture-ascidfakhba-pro02a,0.0642126786212126,3.673994495508865,1.0,0.0,0.9833333333333334,0.016666666666666666,0.9666666666666667,0.0008771929824561334,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0039883897820311,0.0,0.0,0.0,0.0079767795640622,0.0,0.0,0.0,True
arguana,test-culture-ascidfakhba-pro03a,0.06693458805481588,3.8293220330000515,1.0,0.0,1.0,0.0,0.9700000000000001,0.003030303030303,0.3333333333333333,1.0,-0.018392397148013634,0.0,1.1111111111111145,1.1299435028248557,0.0,0.0,0.0,0.0,-0.0076246179248962665,0.0,1.1111111111111145,1.1299435028248557,True
arguana,test-culture-ascidfakhba-pro04a,0.07108291486899053,4.065887809501196,1.0,0.0,0.9833333333333334,0.016666666666666666,0.9499999999999998,-0.0012420217353803333,-1.3333333333333333,1.0,0.2890648263178879,0.0,-0.4975124378109466,-0.4975124378109466,0.0,0.0,1.49253731343284,1.49253731343284,0.10034333188799373,0.0,0.9950248756218932,0.9950248756218932,True
