dataset,query_id,dense_angle_degrees,dense_residual_norm,sparse_top20_turnover,sparse_top100_overlap
arguana,test-culture-ahrtsdlgra-con01a,3.524570175370025,0.06159308676918343,0.03333333333333333,0.94
arguana,test-culture-ahrtsdlgra-con02a,4.982994672696848,0.08719106515248613,0.05000000000000001,0.93
arguana,test-culture-ahrtsdlgra-con03a,3.2869437271216557,0.05743103598554924,0.03333333333333333,0.9466666666666667
arguana,test-culture-ahrtsdlgra-pro01a,3.613295257417126,0.06314798071980474,0.05000000000000001,0.9333333333333332
arguana,test-culture-ahrtsdlgra-pro02a,4.151664705893796,0.0725877781709035,0.1333333333333333,0.9066666666666667
arguana,test-culture-ahrtsdlgra-pro03a,3.963025768596092,0.06927905728419616,0.15,0.8066666666666666
arguana,test-culture-ascidfakhba-con01a,3.28580765784966,0.057411177704731566,0.0,0.9899999999999999
arguana,test-culture-ascidfakhba-con02a,3.6724008622531943,0.06418394049008684,0.016666666666666666,0.96
arguana,test-culture-ascidfakhba-con03a,3.581138060276136,0.06258469820022576,0.05000000000000001,0.9333333333333332
arguana,test-culture-ascidfakhba-con04a,3.6706761755074333,0.06415325899918871,0.03333333333333333,0.9199999999999999
arguana,test-culture-ascidfakhba-pro01a,3.2431591705498235,0.0566646220783392,0.016666666666666666,0.9499999999999998
arguana,test-culture-ascidfakhba-pro02a,3.673994495508865,0.0642126786212126,0.016666666666666666,0.9666666666666667
arguana,test-culture-ascidfakhba-pro03a,3.8293220330000515,0.06693458805481588,0.0,0.9700000000000001
arguana,test-culture-ascidfakhba-pro04a,4.065887809501196,0.07108291486899053,0.016666666666666666,0.9499999999999998
arguana,test-culture-cgeeghwmeo-con01a,4.282652198065954,0.07488606125116344,0.0333333333333333,0.9133333333333334
arguana,test-culture-cgeeghwmeo-con02a,4.8103901554112705,0.08415517956018444,0.05000000000000001,0.9066666666666667
arguana,test-culture-cgeeghwmeo-con03a,4.738699484893073,0.08289653559525803,0.13333333333333322,0.9233333333333333
arguana,test-culture-cgeeghwmeo-con04a,3.5293494810529693,0.06167733420928317,0.08333333333333326,0.9500000000000001
arguana,test-culture-cgeeghwmeo-pro01a,5.346927629036223,0.09359378616015113,0.11666666666666659,0.91
arguana,test-culture-cgeeghwmeo-pro02a,4.52535519699251,0.07914833476146056,0.016666666666666666,0.94
arguana,test-culture-cgeeghwmeo-pro03a,3.977647169487113,0.06953479597965874,0.11666666666666659,0.8633333333333333
arguana,test-culture-cgeeghwmeo-pro04a,3.88914838244122,0.0679831405480702,0.05000000000000001,0.9499999999999998
arguana,test-culture-mmciahbans-con01a,4.889890443839387,0.08555317670106886,0.2333333333333333,0.8933333333333334
arguana,test-culture-mmciahbans-con02a,3.8658734372417314,0.06757536282142,0.16666666666666663,0.8666666666666667
arguana,test-culture-mmciahbans-con03a,4.8360809347901075,0.08460740000009533,0.09999999999999991,0.8066666666666666
arguana,test-culture-mmciahbans-con04a,4.3016431912396875,0.07521924624840413,0.16666666666666663,0.9366666666666666
arguana,test-culture-mmciahbans-pro01a,4.7853185377570355,0.08371564497550323,0.11666666666666659,0.9133333333333334
arguana,test-culture-mmciahbans-pro02a,4.125408031465327,0.07212669154008226,0.06666666666666664,0.8533333333333334
arguana,test-culture-mmciahbans-pro03a,4.741152927506014,0.08293899148702616,0.19999999999999996,0.8633333333333333
arguana,test-culture-mmctghwbsa-con01a,4.815776078922615,0.0842496926585833,0.16666666666666663,0.92
arguana,test-culture-mmctghwbsa-con02a,3.798394650833277,0.0663928228120009,0.016666666666666666,0.9066666666666667
arguana,test-culture-mmctghwbsa-con03a,3.4091248188051892,0.059571320811907434,0.09999999999999996,0.9033333333333333
arguana,test-culture-mmctghwbsa-con04a,3.519989794365235,0.061512857675552333,0.05000000000000001,0.9066666666666667
arguana,test-culture-mmctghwbsa-pro01a,3.55796573643911,0.0621791196366151,0.06666666666666664,0.9633333333333333
arguana,test-culture-mmctghwbsa-pro02a,3.699644056851564,0.06466336920857423,0.05000000000000001,0.9466666666666667
arguana,test-culture-mmctghwbsa-pro03a,4.453697288111324,0.07789194832245504,0.06666666666666664,0.88
arguana,test-culture-mmctghwbsa-pro04a,3.784584732030775,0.06614974389473598,0.05000000000000001,0.8633333333333333
arguana,test-culture-mmctyshwbcp-con01a,4.12456084450113,0.0721132804950078,0.05000000000000001,0.8433333333333333
arguana,test-culture-mmctyshwbcp-con02a,3.6345614303005367,0.06352095554272326,0.13333333333333322,0.9233333333333333
arguana,test-culture-mmctyshwbcp-con03a,4.775577716268362,0.08354313671588894,0.15,0.8033333333333333
arguana,test-culture-mmctyshwbcp-pro01a,4.439135950634038,0.07763335108757013,0.03333333333333333,0.9066666666666666
arguana,test-culture-mmctyshwbcp-pro02a,4.36742020518521,0.07637428740660344,0.09999999999999996,0.9466666666666667
arguana,test-culture-mmctyshwbcp-pro03a,4.212709853981825,0.07365920643011724,0.11666666666666659,0.9199999999999999
arguana,test-culture-mmctyshwbcp-pro04a,4.006036684605324,0.07003286232550933,0.09999999999999991,0.8733333333333334
arguana,test-culture-mmctyshwbcp-pro05a,5.090554827473934,0.08908197532097496,0.09999999999999991,0.8766666666666666
arguana,test-culture-mmctyshwbcp-pro06a,3.781004446262273,0.0660872608423233,0.03333333333333333,0.9366666666666666
arguana,test-culture-mthbah-con01a,4.844934561480419,0.08476725717385607,0.18333333333333326,0.8066666666666666
arguana,test-culture-mthbah-con02a,3.3368451539151525,0.05830504372715944,0.14999999999999994,0.8966666666666666
arguana,test-culture-mthbah-con03a,3.4810635525751015,0.060831009099880796,0.05000000000000001,0.94
arguana,test-culture-mthbah-con04a,4.786429401632429,0.08373389641443883,0.1333333333333333,0.93
arguana,test-culture-mthbah-pro01a,4.048009998796042,0.0707690392931302,0.09999999999999991,0.88
arguana,test-culture-mthbah-pro02a,3.683940929424956,0.0643861927092075,0.08333333333333333,0.8466666666666667
arguana,test-culture-mthbah-pro03a,5.996872978683193,0.10505313426256176,0.09999999999999996,0.9066666666666667
arguana,test-culture-mthbah-pro04a,3.429432744339851,0.0599271679917971,0.15,0.8633333333333333
arguana,test-culture-mthbah-pro05a,5.6332375800938435,0.09864496688048041,0.2833333333333333,0.7366666666666667
arguana,test-culture-thbcsbptwhht-con01a,3.2490969340526785,0.05676834533611927,0.016666666666666666,0.9066666666666667
arguana,test-culture-thbcsbptwhht-con02a,3.694132417826518,0.06456443915764487,0.04999999999999997,0.8866666666666667
arguana,test-culture-thbcsbptwhht-con03a,3.0374055151426975,0.05306247000892953,0.09999999999999991,0.9499999999999998
arguana,test-culture-thbcsbptwhht-pro01a,4.573121187536284,0.07998611032962794,0.03333333333333333,0.91
arguana,test-culture-thbcsbptwhht-pro02a,1.1991604095533223e-06,2.0929297406269143e-08,0.06666666666666664,0.92
arguana,test-culture-thbcsbptwhht-pro03a,3.705587463927916,0.06476510316133494,0.09999999999999991,0.9
arguana,test-culture-thbcsbptwhht-pro04a,3.4566163631441285,0.06040270502368606,0.05000000000000001,0.8966666666666666
arguana,test-culture-tlhrilsfhwr-con01a,3.2940169815768825,0.057554949074983534,0.0,0.9366666666666666
arguana,test-culture-tlhrilsfhwr-con02a,1.211023929404056e-06,2.113635488854015e-08,0.0,0.9633333333333333
arguana,test-culture-tlhrilsfhwr-con03a,3.3703989352844204,0.05889286349217093,0.016666666666666666,0.9633333333333333
arguana,test-culture-tlhrilsfhwr-pro01a,3.26215568689263,0.056996963918209,0.0,0.9066666666666666
arguana,test-culture-tlhrilsfhwr-pro02a,1.158992192148059e-06,2.0228229757890404e-08,0.0,0.9633333333333333
arguana,test-culture-tlhrilsfhwr-pro03a,1.282170749406774e-06,2.2378101149911345e-08,0.0,0.9633333333333333
arguana,test-culture-tlhrilsfhwr-pro04a,3.258979506101513,0.0569416098296642,0.0,0.9033333333333333
arguana,test-digital-freedoms-aihbiahr-con01a,3.2559102399111697,0.056887620439132036,0.09999999999999996,0.9166666666666666
arguana,test-digital-freedoms-aihbiahr-con02a,3.818933996961802,0.06675291061401363,0.19999999999999987,0.8733333333333334
arguana,test-digital-freedoms-aihbiahr-con03a,3.176078876288115,0.05548996602495507,0.0,0.9766666666666666
arguana,test-digital-freedoms-aihbiahr-con04a,3.5361871596764964,0.061796650290489134,0.06666666666666664,0.94
arguana,test-digital-freedoms-aihbiahr-pro01a,3.867240339461763,0.06759893894195552,0.08333333333333326,0.9233333333333333
arguana,test-digital-freedoms-aihbiahr-pro02a,3.5165188776635445,0.061452170213063505,0.05000000000000001,0.9466666666666667
arguana,test-digital-freedoms-aihbiahr-pro03a,3.2102240828645487,0.05608810484409327,0.05000000000000001,0.9766666666666666
arguana,test-digital-freedoms-aihwbasmn-con01a,3.718837930857313,0.06499875088532764,0.0,0.9333333333333332
arguana,test-digital-freedoms-aihwbasmn-con02a,3.3781018687312936,0.059027450780073765,0.016666666666666666,0.9400000000000001
arguana,test-digital-freedoms-aihwbasmn-con03a,2.9374282323623766,0.05131298179427776,0.05000000000000001,0.9533333333333333
arguana,test-digital-freedoms-aihwbasmn-con04a,3.2570403613296084,0.056907530874013866,0.0,0.9433333333333334
arguana,test-digital-freedoms-aihwbasmn-con05a,3.1859607817468754,0.0556628989676634,0.05000000000000001,0.9
arguana,test-digital-freedoms-aihwbasmn-pro01a,4.265309595613318,0.07458156595627467,0.0,0.9433333333333334
arguana,test-digital-freedoms-aihwbasmn-pro02a,3.6576466429084626,0.063924990594387,0.05000000000000001,0.9333333333333332
